etotapx4,etotapx*1000,bls_urbn,cutenure,educ_ref,inclass,marital1,region,vehq,fam_size,fincatax,fincatax*1000,age_ref,num_auto,renteqvx,inc_rank,no_earnr
18.22765,18227.65,1,1,14,9,1,4,4,5,86,86000,45,3,1400,0.7843,3
14.77975,14779.75,1,1,11,8,1,2,2,4,49.495,49495,40,0,1300,0.5532,1
19.8276,19827.6,1,2,16,9,1,1,0,2,200,200000,62,0,5039,0.9688,2
6.61685,6616.85,1,2,12,4,1,2,3,2,11.199,11199,70,0,759,0.1058,2
26.99725,26997.25,1,1,15,9,1,4,3,3,123.952,123952,40,3,1400,0.9012,2
10.6735,10673.5,1,1,16,8,5,2,1,1,46.496,46496,47,1,850,0.6134,1
14.454,14454,1,1,13,8,1,2,2,4,60.727,60727,51,1,1861,0.6365,2
5.885,5885,1,1,12,7,2,2,1,1,39.552,39552,64,0,1000,0.478,0
12.25015,12250.15,1,1,12,9,5,3,2,2,74.817,74817,26,2,800,0.7151,2
5.92895,5928.95,1,1,13,7,1,4,2,1,32.049,32049,60,1,750,0.491,1
3.13295,3132.95,1,1,11,5,2,3,1,1,20.039,20039,82,1,500,0.2336,0
9.51875,9518.75,1,1,15,9,1,3,2,3,67.85,67850,26,2,1000,0.7425,2
19.64145,19641.45,1,1,13,9,1,3,2,2,66.618,66618,58,1,1400,0.7311,2
4.273,4273,2,1,13,3,3,2,3,1,15.8,15800,26,1,600,0.1356,1
13.8588,13858.8,1,1,14,8,3,4,1,2,60.198,60198,60,0,1899,0.581,2
13.7274,13727.4,1,2,16,9,1,1,2,2,85.376,85376,75,1,1743,0.7806,0
13.129,13129,1,2,14,7,1,3,3,1,43.632,43632,40,3,1000,0.4582,1
9.2422,9242.2,1,1,16,9,1,1,2,2,97.761,97761,62,2,1000,0.8303,1
46.907371,46907.371,1,1,15,9,1,4,2,4,305.305,305305,36,1,2000,0.952,1
19.38575,19385.75,1,1,15,9,1,2,2,3,99.065,99065,52,2,1200,0.8418,2
6.84595,6845.95,1,1,11,8,1,3,2,5,62.942,62942,44,1,900,0.6634,1
46.922065,46922.065,1,1,15,9,1,4,3,2,413.536,413536,30,1,2200,0.9886,2
10.2242,10224.2,1,2,11,6,2,2,1,1,33.431,33431,87,0,1013,0.3715,0
25.16875,25168.75,1,2,15,9,1,3,3,2,151.782,151782,59,1,1200,0.9323,1
5.28355,5283.55,1,1,15,6,3,3,1,2,34,34000,56,1,983,0.3982,1
16.69875,16698.75,1,1,15,9,1,3,2,3,93,93000,39,2,1800,0.8126,2
27.852564,27852.564,1,1,16,9,1,2,8,4,575.547,575547,40,0,1500,0.9704,3
18.6354,18635.4,1,1,13,9,1,2,1,5,72.772,72772,48,0,2000,0.7721,1
15.7115,15711.5,1,1,13,8,1,2,2,2,52.607,52607,58,1,1200,0.6351,2
9.1164,9116.4,2,2,12,6,1,2,2,2,37.527,37527,72,1,650,0.4454,0
27.79275,27792.75,1,2,15,9,1,1,0,2,121.329,121329,63,0,1000,0.921,2
12.8891,12889.1,1,1,12,8,1,4,4,5,44.207,44207,42,1,1836,0.5014,1
8.5914,8591.4,1,2,13,7,1,,5,5,19.95,19950,51,2,850,0.2106,1
2.4755,2475.5,1,2,10,3,2,3,1,1,13.224,13224,87,1,703,0.14,0
8.97325,8973.25,1,1,14,8,5,3,2,2,49.6,49600,48,2,700,0.6427,1
3.0715,3071.5,1,1,12,2,3,2,2,1,5.598,5598,51,1,500,0.0473,0
6.2805,6280.5,1,2,13,2,3,3,7,1,2.778,2778,61,1,700,0.0641,0
9.4202,9420.2,2,1,15,7,2,2,2,1,45.524,45524,70,1,1000,0.5044,1
19.5675,19567.5,1,1,14,9,3,3,2,3,66.986,66986,32,0,1100,0.7203,2
16.76175,16761.75,1,1,15,9,1,2,2,2,76.282,76282,30,1,850,0.7453,2
7.3422,7342.2,1,2,12,4,5,2,1,1,19.682,19682,70,1,700,0.2257,0
11.5945,11594.5,1,1,14,8,1,1,6,4,60.599,60599,26,2,800,0.6191,2
18.867064,18867.064,1,1,15,9,3,3,1,2,150,150000,46,0,2000,0.9318,1
14.9682,14968.2,1,1,17,3,2,4,1,1,14.399,14399,72,1,2358,0.1526,0
4.80825,4808.25,2,2,10,5,1,2,0,6,30.8,30800,37,0,250,0.2972,1
12.697,12697,1,2,13,8,5,1,4,1,43.37,43370,60,2,1200,0.5458,0
13.5315,13531.5,1,1,13,8,3,3,2,2,61.6,61600,54,2,1100,0.6272,1
10.9743,10974.3,1,1,12,9,1,2,2,3,79.1,79100,44,0,1500,0.7507,2
9.2022,9202.2,1,1,11,4,2,3,0,1,15.599,15599,81,0,1000,0.1711,0
10.37055,10370.55,1,1,13,9,1,2,2,2,65,65000,60,0,1335,0.6695,2
7.00315,7003.15,1,2,12,4,1,3,2,2,14.423,14423,67,0,400,0.1548,0
14.551,14551,1,1,15,8,2,2,1,2,50.749,50749,47,1,950,0.6072,1
3.4775,3477.5,1,2,12,4,1,3,2,2,17.34,17340,64,0,500,0.1973,0
10.03775,10037.75,1,1,10,9,1,2,1,3,72,72000,62,1,800,0.6937,2
9.36425,9364.25,2,2,15,8,5,4,2,1,51.112,51112,57,1,750,0.609,1
23.2365,23236.5,1,1,13,9,4,2,3,3,120.4,120400,47,1,1850,0.8901,1
12.5269,12526.9,1,1,15,7,1,4,2,9,32.432,32432,79,1,1000,0.3739,3
24.91,24910,1,1,15,9,1,3,5,6,96.186,96186,53,2,2338,0.8246,2
21.87825,21878.25,1,1,16,9,1,1,2,2,112,112000,46,1,2046,0.8714,1
15.1927,15192.7,1,1,12,9,1,4,3,2,80.521,80521,71,2,1400,0.7589,1
21.245314,21245.314,1,1,13,9,3,2,3,2,292.304,292304,62,0,850,0.9805,1
3.6999,3699.9,1,2,12,6,1,4,2,3,15.478,15478,78,1,1500,0.1697,1
21.38185,21381.85,1,2,10,9,2,1,1,4,93.104,93104,56,1,2500,0.8134,3
3.1592,3159.2,1,2,12,3,2,2,1,1,13.94,13940,65,1,900,0.1546,0
8.795,8795,1,1,13,6,5,2,2,4,36.618,36618,44,2,1000,0.4461,1
17.0894,17089.4,1,1,15,9,1,4,2,3,103.464,103464,53,1,2500,0.8509,2
14.3337,14333.7,2,2,11,5,1,3,3,3,26.915,26915,60,1,1000,0.3169,0
7.0059,7005.9,1,2,10,6,3,3,0,4,36,36000,66,0,600,0.4181,1
12.0194,12019.4,1,1,12,5,1,2,3,2,23.502,23502,65,2,1000,0.2739,0
17.502064,17502.064,1,1,15,9,1,1,3,4,108.158,108158,49,2,2000,0.879,3
41.609711,41609.711,1,1,15,9,1,4,3,4,129.8,129800,37,0,2100,0.9446,1
15.3385,15338.5,1,2,16,9,5,3,1,1,82.582,82582,56,0,1300,0.8416,1
14.9265,14926.5,1,1,10,9,1,3,4,7,70.39,70390,57,1,700,0.705,5
11.36635,11366.35,1,2,13,9,1,1,3,3,62.384,62384,66,0,707,0.681,2
20.18115,20181.15,1,2,14,9,1,2,5,4,79,79000,55,3,1500,0.7495,2
6.78335,6783.35,1,1,11,7,1,3,2,2,45.715,45715,63,0,400,0.5216,2
18.008,18008,1,1,12,9,1,1,4,4,87.614,87614,47,1,1100,0.8298,2
12.209,12209,1,1,15,7,1,4,3,2,41.575,41575,68,2,3000,0.4748,1
8.16525,8165.25,1,2,15,7,1,3,1,3,43.439,43439,57,0,700,0.4945,2
7.0675,7067.5,1,1,13,8,1,1,1,4,60,60000,45,0,1500,0.6269,1
35.439214,35439.214,1,1,15,9,1,1,2,7,93.732,93732,63,2,2200,0.7886,3
13.86165,13861.65,1,2,16,9,3,4,0,2,65.429,65429,65,0,2700,0.6474,1
8.8501,8850.1,2,1,13,9,1,2,3,2,65.218,65218,47,1,750,0.6854,2
16.5687,16568.7,1,2,12,6,2,1,2,2,32.154,32154,87,2,1000,0.3647,1
13.48025,13480.25,1,1,13,8,1,2,2,3,65,65000,29,2,1200,0.6619,2
15.6142,15614.2,1,2,14,5,2,1,1,1,29.08,29080,87,1,2666,0.3368,0
9.6717,9671.7,1,2,13,6,3,1,1,1,31.919,31919,69,1,1650,0.3671,1
3.5072,3507.2,1,2,12,3,1,3,1,1,10.242,10242,70,1,600,0.0952,0
124.82395,124823.95,1,2,15,9,1,4,3,3,2.021,2021,64,2,5039,0.9974,1
6.79665,6796.65,1,2,12,7,1,1,2,2,32.942,32942,78,2,1735,0.3762,0
8.8969,8896.9,1,2,12,8,1,3,2,2,54.238,54238,76,1,850,0.5837,0
11.221,11221,1,1,11,9,1,4,3,2,73.04,73040,58,2,1300,0.737,2
6.7785,6778.5,1,2,12,7,1,3,3,6,51.787,51787,43,1,600,0.5142,1
14.52925,14529.25,1,2,16,9,1,2,4,2,99.265,99265,60,2,700,0.8583,2
19.9405,19940.5,1,1,13,9,1,2,5,4,85.2,85200,57,1,500,0.7669,3
34.930629,34930.629,1,1,15,9,1,3,3,2,307.9,307900,54,3,2500,0.9912,2
18.47405,18474.05,1,1,14,9,1,2,2,3,110,110000,39,0,785,0.8648,2
26.84825,26848.25,1,1,16,9,1,4,3,5,167.8,167800,41,2,1200,0.9499,2
39.84815,39848.15,1,1,15,9,3,4,0,2,100.642,100642,42,0,2100,0.8399,1
16.198,16198,1,1,12,5,3,1,2,1,18.706,18706,51,0,1200,0.2554,1
15.64975,15649.75,1,1,13,8,5,2,3,3,55.9,55900,27,1,600,0.5641,2
24.167,24167,1,1,15,9,1,3,2,3,126.787,126787,52,1,2500,0.9248,2
9.34775,9347.75,1,1,15,8,3,3,1,2,56.423,56423,53,1,1200,0.6075,1
20.3605,20360.5,1,1,15,9,5,4,3,1,30.864,30864,38,2,800,0.8248,1
6.3944,6394.4,1,2,10,6,1,2,2,2,31.614,31614,81,1,800,0.3646,0
18.62555,18625.55,1,1,16,9,1,4,0,3,100,100000,54,0,1848,0.8335,2
11.136314,11136.314,1,2,17,9,1,3,2,2,71.344,71344,62,1,1000,0.7001,1
8.55545,8555.45,1,1,11,5,2,3,1,1,20.999,20999,75,0,600,0.2423,0
12.42,12420,1,1,14,6,1,1,4,2,38.667,38667,58,3,1200,0.3729,0
81.210371,81210.371,1,1,13,9,1,4,3,2,228.037,228037,49,1,5039,0.9962,1
10.7605,10760.5,1,1,14,9,1,4,2,4,71.944,71944,35,1,1200,0.7207,1
